Title,Price,Rating,Reviews
"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정, 그라파이트, 펜티엄, 512GB, 16GB, Windows11Pro","679,000",5.0,294
"기가바이트 2024 게이밍 G5 15.6 코어i7 인텔 13세대 지포스 RTX 4050, Iron Gray, 512GB, 16GB, Free DOS, G5 MF5-H2KR","1,235,400",,0
"HP 2024 옴니북 14X 스냅드래곤, 메테오 실버, 1TB, 16GB, WIN11 Home, 14-fe0005QU","1,799,000",,0
"에이수스 2024 비보북Go 15 E1504FA-BQ476 15.6 라이젠5 Radeon, 쿨 실버, 512GB, 16GB, Free DOS","579,000",5.0,769
"베이직스 2022 베이직북 14 3세대 셀러론, White, 256GB, 8GB, WIN11 Pro, BB1422SS","382,080",4.5,2083
"LG전자 울트라 PC 지포스+듀얼스토리지 탑재 화이트 노트북 15UB470 코어i5-6200U 램12GB SSD128GB+HDD500GB 지포스940MX 윈도우10 Pro, 14UB470, WIN10 Pro, 12GB, 628GB","398,000",,0
"삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품, 실버/블랙, 삼성NT371B5J, i5 4200, 500GB, 8GB","286,000",4.5,157
"레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈, Cloud Grey (82VG), 256GB, 8GB, Free DOS, 82VG002EKR","489,000",5.0,1377
"삼성전자 2021 노트북 플러스2 15.6, 그라파이트, NT550XED-K24A, 펜티엄, 128GB, 8GB, WIN11 Pro","569,000",5.0,76
"레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대, Arctic Grey, 256GB, 16GB, Free DOS, 83ER005YKR","689,000",5.0,288
"HP 2023 노트북 15 코어i5 인텔 13세대, Natural Silver, 512GB, 16GB, WIN11 Home, 15-fd0096tu","858,990",4.5,1013
"삼성전자 갤럭시북 프로 15.6인치 가벼운 대학생 사무용 업무용 가성비 인강용 포토샵 영상편집 캐드 주식 윈도우11정품 추천 노트북, NT950XEV, 윈도우11 Home, 16GB, 512GB, 그라파이트","1,249,000",5.0,1
LG 그램 14Z960 i5-6200 8G SSD256G Win10 가벼운 슬림한 노트북 980g,"389,560",4.0,85
삼성전자 노트북 9 metal NT901X5L i5-6200U 8G SSD Win10,"287,680",4.5,41
삼성 노트북/NT200B5C/NT371B5J /I5 3320M 4G SSD128G/15.6인치 WIN10 Pro,"139,000",4.0,53
"Apple 2020 맥북 에어 13, 스페이스 그레이, M1, 256GB, 8GB, A2337","979,000",5.0,13037
"에이서 2024 니트로 V 16 라이젠7 라이젠 8000 시리즈 지포스 RTX 4050, ANV16-41-R584, Free DOS, 16GB, 512GB, 블랙","1,137,810",5.0,2
"LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10, 8GB, WIN10 Pro, 628GB, 코어i5, 화이트","499,000",4.5,417
"삼성전자 삼성노트북 NT200B5C/i5-3210/4G/SSD128G/DVD멀티/15.6/1600*900/윈도우10/2.3kg/무상보증1년, NT200B5C, WIN10 Pro, 4GB, 128GB, 코어i5, 블랙","177,000",4.0,107
"레노버 아이디어패드 U330 터치스크린 A급 중고노트북 (i5/SSD128GB/Win10/13인치), U330 Touch, WIN10, 4GB, 128GB, 실버","91,000",5.0,16
"HP 2023 노트북 15 코어i5 인텔 13세대, Natural Silver, 512GB, 16GB, WIN11 Home, 15-fd0096tu","858,990",4.5,1013
"삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품, 실버, 삼성 NT901X3H, 코어i5, 240GB, 8GB","296,000",4.5,157
"아우크웨이 16 노트북 12GB+512GB 인텔 N5095(최대 2.9Ghz) 4코어 Win 11 2.5K FHD (냉각팬 포함) 듀얼 WiFi 지원 1TB SSD 확장-검은색, WIN11 Pro, 검은색, 12GB, 512GB, A6","449,000",,0
"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6 라이젠5 라이젠 7000 시리즈, ARCTIC GREY, 256GB, 16GB, Free DOS, 82XM0039KR","648,900",5.0,392
"삼성전자 노트북 5 코어i5 6세대 SSD+HDD 듀얼 스토리지 탑재 NT501시리즈 블랙 윈도우10 Pro 탑재, WIN10 Pro, 32GB, 628GB","398,000",,0
"삼성 NT971B5L i5-6세대/SSD512장착/RAM16GB/WIN10/15.6""/FHD/, NT371B5L, WIN10 Pro, 16GB, 512GB, 코어i5, 블랙","299,000",4.0,11
"중고노트북 삼성 LG HP DELL 레노버 한성 ASUS 정품윈도우 SSD 대화면 노트북, 14/15인치, WIN10 Home, 4GB, 128GB, 코어i5, 블랙","98,000",4.0,51
"삼성리퍼노트북 NT371B5L 코어i5 DDR4 초고속Nvme기본장착 WIN11업그레이드, WIN11 Home, 16GB, 256GB, 블랙","329,000",,0
"삼성전자 2021 갤럭시북 프로 15.6, NT950XDX-G51AB, WIN10 Home, 16GB, 512GB, 코어i5 11세대, 미스틱 블루",,5.0,346
"힐링쉴드 노트북 무광 팜레스트 + 터치패드 보호필름 2p 세트, 1세트","11,250",5.0,3
"힐링쉴드 노트북 무광 팜레스트 터치패드 필름 2p 세트, 1세트","7,500",,0
"델 2023 인스피론 15 3520 코어i5 인텔 12세대 지포스 MX550, 플래티넘 실버, 512GB, 8GB, WIN11 Home, DN3520-W003KR","1,162,370",4.5,6
"레노버 2021 ThinkPad L13 GEN2 13.3 코어i7 인텔 11세대, Black, 256GB, 8GB, WIN10 Pro, 20VH002PKR","1,126,020",5.0,6
"힐링쉴드 노트북 고화질 액정보호필름 랜덤발송, 1개","24,870",5.0,5
"레노버 2022 씽크패드 X1 카본 Gen 10 14 코어i7 인텔 12세대, 블랙, 512GB, 32GB, WIN11 Pro, 21CBS00200","2,230,030",5.0,33
"HP 2023 빅터스 15 코어i5 인텔 13세대 지포스 RTX 4050, Mica Silver, 512GB, 16GB, WIN11 Home, 15-fa1014KR","1,401,240",5.0,142
"레노버 2023 씽크패드 X1 카본 Gen11 14 코어i7 인텔 13세대, 블랙, 512GB, 16GB, WIN11 Pro, 21HMS00500","2,031,930",5.0,19
"코쿼드 노트북 투명 케이스, 1개","10,520",4.5,3
"레노버 2022 씽크패드 T16 AMD G1 16 라이젠7 Pro 라이젠 6000 시리즈, Thunder Black, 256GB, 16GB, WIN11 Pro, 21CHS00800","1,484,100",5.0,3
"한성컴퓨터 2022 TFG 노트북 17.3 코어i7 인텔 12세대 지포스 RTX 3070 Ti, Black, 500GB, 16GB, Free DOS, TFG7277XG","1,857,840",4.5,3
"디지티 프리미엄 노트북 거치대, 메탈블랙","20,170",4.5,143
"힐링쉴드 노트북 올레포빅 Light 액정보호필름, 1개","8,760",5.0,2
"델 2022 Alienware X14 코어i7 인텔 12세대 지포스 RTX 3050 Ti, Lunar Light, 1TB, 16GB, WIN11 Pro, DAWX14-WP02KR","2,833,850",5.0,1
"레노버 2022 씽크패드 Z13 G1 13.3 라이젠7 Pro 라이젠 6000 시리즈, Black (Top) + Black (Bottom), 512GB, 16GB, WIN11 Pro, 21D2000FKR","1,579,090",5.0,4
"카라스 삼성 NT940X5M NT940X5N 시리즈용 노트북 클린스킨, 1개","5,080",5.0,4
"레노버 2022 씽크패드 X1 요가 13.5 코어i7 인텔 11세대, 티타늄, 512GB, 16GB, WIN10 Pro, 20QA00ACKR","2,057,020",5.0,1
"HP 2023 노트북 255 G10 15.6 라이젠5 라이젠 7000 시리즈, 실버, 256GB, 8GB, Free DOS, 8L8J5PA","589,000",5.0,161
"LG그램 그램15 15Z960 (i5-6200U/i7-6500U/Win10 Pro) 15인치 노트북 [디에스컴], 다크 실버, 14Z970, I7, 256GB, 16GB, WIN10 PRO","488,000",4.5,85
"아우크웨이 16 노트북 12GB+512GB 인텔 N5095(최대 2.9Ghz) 4코어 Win 11 2.5K FHD 스크린(냉각팬 포함) 듀얼 WiFi 지원 1TB SSD 확장-빨간, WIN11 Pro, 빨간색, 12GB, 512GB, A6","449,000",,0
"네오북 2024 노트북 14.1 셀러론, 핑크, 128GB, 6GB, WIN11 Home, N14GO","259,000",3.0,2
"레노버 2023 아이디어패드 슬림 3 16ABR8 16 라이젠5 라이젠 7000 시리즈, Arctic Grey (82XR), 256GB, 16GB, Free DOS, 82XR000HKR","591,200",5.0,244
"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6 라이젠7 라이젠 7000 시리즈, ARCTIC GREY, 256GB, 16GB, Free DOS, 82XM0036KR","689,000",5.0,142
"HP 2023 노트북 470 G10 17.3, Silver, 512GB, 16GB, Free DOS, G10-88F04PC","710,600",5.0,1
