OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup,RegionName,Gender2,Month
107,10226,10,1,0,26,6,38554.01786600747,38554.01786600747,20s,High-Price,2020-01-01 21:58:00,Wednesday,21:58:00,2020,Winter,PrimeTime,I-City,Female,1
13,10455,10,2,0,28,5,23283.335065792588,46566.670131585175,20s,High-Price,2020-01-01 22:42:00,Wednesday,22:42:00,2020,Winter,PrimeTime,S-City,Female,1
51,10740,10,1,0,27,1,40161.63151664801,40161.63151664801,20s,High-Price,2020-01-01 23:47:00,Wednesday,23:47:00,2020,Winter,PrimeTime,Y-City,Female,1
379,10854,10,1,0,34,5,32216.372365346175,32216.372365346175,30s,High-Price,2020-01-01 23:54:00,Wednesday,23:54:00,2020,Winter,PrimeTime,S-City,Female,1
338,10393,10,1,0,29,10,31775.841342919277,31775.841342919277,20s,High-Price,2020-01-02 10:00:00,Thursday,10:00:00,2020,Winter,DayTime,G-City,Female,1
46,10562,10,1,0,41,6,37127.27412890311,37127.27412890311,40s,High-Price,2020-01-02 12:22:00,Thursday,12:22:00,2020,Winter,DayTime,I-City,Female,1
341,10365,10,1,0,21,4,24111.075288546534,24111.075288546534,20s,High-Price,2020-01-02 13:13:00,Thursday,13:13:00,2020,Winter,DayTime,K-State,Female,1
201,10176,10,1,0,27,5,24026.49552061863,24026.49552061863,20s,High-Price,2020-01-02 14:39:00,Thursday,14:39:00,2020,Winter,DayTime,S-City,Female,1
159,10520,10,2,0,26,3,30811.150930337237,61622.30186067447,20s,High-Price,2020-01-02 17:06:00,Thursday,17:06:00,2020,Winter,DayTime,P-City,Female,1
278,10072,20,2,1,27,6,30286.975639095755,60573.95127819151,20s,Medium-Price,2020-01-02 20:33:00,Thursday,20:33:00,2020,Winter,PrimeTime,I-City,Male,1
36,10281,20,1,1,27,3,30141.101653347854,30141.101653347854,20s,Medium-Price,2020-01-02 21:13:00,Thursday,21:13:00,2020,Winter,PrimeTime,P-City,Male,1
7,10772,10,1,0,35,5,25728.485653415566,25728.485653415566,30s,High-Price,2020-01-02 22:42:00,Thursday,22:42:00,2020,Winter,PrimeTime,S-City,Female,1
235,10471,10,1,0,27,3,27403.511410985575,27403.511410985575,20s,High-Price,2020-01-02 23:04:00,Thursday,23:04:00,2020,Winter,PrimeTime,P-City,Female,1
79,10377,10,2,0,24,6,26788.315945258008,53576.631890516015,20s,High-Price,2020-01-02 23:33:00,Thursday,23:33:00,2020,Winter,PrimeTime,I-City,Female,1
397,10128,20,1,1,38,8,38297.700495586134,38297.700495586134,30s,Medium-Price,2020-01-03 12:37:00,Friday,12:37:00,2020,Winter,DayTime,B-City,Male,1
294,10697,20,1,1,28,5,30478.59785857451,30478.59785857451,20s,Medium-Price,2020-01-03 12:55:00,Friday,12:55:00,2020,Winter,DayTime,S-City,Male,1
208,10120,10,2,0,26,6,25578.10535991704,51156.21071983408,20s,High-Price,2020-01-03 13:57:00,Friday,13:57:00,2020,Winter,DayTime,I-City,Female,1
195,10929,10,2,0,31,5,32022.066478636985,64044.13295727397,30s,High-Price,2020-01-03 19:46:00,Friday,19:46:00,2020,Winter,PrimeTime,S-City,Female,1
293,10914,10,1,1,27,5,40689.25599625867,40689.25599625867,20s,High-Price,2020-01-03 20:00:00,Friday,20:00:00,2020,Winter,PrimeTime,S-City,Male,1
236,10619,10,1,0,20,8,30453.957104108704,30453.957104108704,10s,High-Price,2020-01-03 20:42:00,Friday,20:42:00,2020,Winter,PrimeTime,B-City,Female,1
313,10362,10,2,0,23,4,24068.360534492083,48136.72106898417,20s,High-Price,2020-01-03 21:00:00,Friday,21:00:00,2020,Winter,PrimeTime,K-State,Female,1
110,10514,10,1,0,24,5,31958.957407187372,31958.957407187372,20s,High-Price,2020-01-03 21:15:00,Friday,21:15:00,2020,Winter,PrimeTime,S-City,Female,1
196,10212,10,1,0,29,9,33800.24237784218,33800.24237784218,20s,High-Price,2020-01-03 22:39:00,Friday,22:39:00,2020,Winter,PrimeTime,D-City,Female,1
382,10037,10,2,0,23,5,35801.6840207559,71603.3680415118,20s,High-Price,2020-01-04 11:46:00,Saturday,11:46:00,2020,Winter,DayTime,S-City,Female,1
368,10051,30,2,0,15,6,40026.12713574512,80052.25427149024,10s,Low-Price,2020-01-04 14:20:00,Saturday,14:20:00,2020,Winter,DayTime,I-City,Female,1
227,10604,10,1,0,23,7,26752.55369140933,26752.55369140933,20s,High-Price,2020-01-04 21:29:00,Saturday,21:29:00,2020,Winter,PrimeTime,T-City,Female,1
150,10366,10,1,0,26,7,30219.694652394068,30219.694652394068,20s,High-Price,2020-01-04 22:52:00,Saturday,22:52:00,2020,Winter,PrimeTime,T-City,Female,1
23,10111,20,2,1,55,1,26186.941312558138,52373.882625116275,50s,Medium-Price,2020-01-04 23:12:00,Saturday,23:12:00,2020,Winter,PrimeTime,Y-City,Male,1
164,10797,20,2,1,24,7,18018.983383631436,36037.96676726287,20s,Medium-Price,2020-01-04 23:21:00,Saturday,23:21:00,2020,Winter,PrimeTime,T-City,Male,1
384,10711,10,1,0,23,5,31267.81605679641,31267.81605679641,20s,High-Price,2020-01-05 17:22:00,Sunday,17:22:00,2020,Winter,DayTime,S-City,Female,1
230,10300,20,2,1,21,6,32536.59085435511,65073.18170871022,20s,Medium-Price,2020-01-05 22:22:00,Sunday,22:22:00,2020,Winter,PrimeTime,I-City,Male,1
277,10391,10,1,0,18,6,24710.539782865264,24710.539782865264,10s,High-Price,2020-01-05 22:30:00,Sunday,22:30:00,2020,Winter,PrimeTime,I-City,Female,1
365,10450,10,2,0,29,5,25306.24866782234,50612.49733564468,20s,High-Price,2020-01-06 20:04:00,Monday,20:04:00,2020,Winter,PrimeTime,S-City,Female,1
309,10057,20,3,1,29,5,18175.764397841976,54527.293193525926,20s,Medium-Price,2020-01-06 21:05:00,Monday,21:05:00,2020,Winter,PrimeTime,S-City,Male,1
18,10982,10,1,0,33,5,30775.104520281267,30775.104520281267,30s,High-Price,2020-01-06 21:53:00,Monday,21:53:00,2020,Winter,PrimeTime,S-City,Female,1
87,10772,10,1,0,35,5,27608.607909666192,27608.607909666192,30s,High-Price,2020-01-07 09:12:00,Tuesday,09:12:00,2020,Winter,DayTime,S-City,Female,1
239,10670,10,2,0,23,6,16708.032061117447,33416.06412223489,20s,High-Price,2020-01-07 13:25:00,Tuesday,13:25:00,2020,Winter,DayTime,I-City,Female,1
229,10138,20,1,1,20,5,28641.953204271405,28641.953204271405,10s,Medium-Price,2020-01-07 21:33:00,Tuesday,21:33:00,2020,Winter,PrimeTime,S-City,Male,1
139,10687,20,2,1,24,5,23105.680132798938,46211.360265597876,20s,Medium-Price,2020-01-07 21:41:00,Tuesday,21:41:00,2020,Winter,PrimeTime,S-City,Male,1
296,10930,10,1,0,41,5,30873.58988439736,30873.58988439736,40s,High-Price,2020-01-07 21:56:00,Tuesday,21:56:00,2020,Winter,PrimeTime,S-City,Female,1
376,10783,10,1,0,41,6,41110.07421896975,41110.07421896975,40s,High-Price,2020-01-07 23:53:00,Tuesday,23:53:00,2020,Winter,PrimeTime,I-City,Female,1
315,10702,10,1,0,25,6,36948.06024186767,36948.06024186767,20s,High-Price,2020-01-07 23:55:00,Tuesday,23:55:00,2020,Winter,PrimeTime,I-City,Female,1
192,10838,10,1,0,34,3,26411.925778394183,26411.925778394183,30s,High-Price,2020-01-08 20:35:00,Wednesday,20:35:00,2020,Winter,PrimeTime,P-City,Female,1
367,10753,20,2,1,22,5,27265.727304046013,54531.454608092026,20s,Medium-Price,2020-01-08 23:46:00,Wednesday,23:46:00,2020,Winter,PrimeTime,S-City,Male,1
97,10575,20,1,1,33,6,35421.38376961407,35421.38376961407,30s,Medium-Price,2020-01-09 16:57:00,Thursday,16:57:00,2020,Winter,DayTime,I-City,Male,1
304,10363,10,1,0,23,5,34831.74785546823,34831.74785546823,20s,High-Price,2020-01-09 18:14:00,Thursday,18:14:00,2020,Winter,DayTime,S-City,Female,1
