CustID,Year,Month,count,sum
10001,2020,4,1,38504.86121857047
10001,2020,12,2,112913.67182000383
10001,2021,1,1,28243.29396330169
10001,2021,2,1,46526.09095635678
10001,2021,6,1,49296.54775107649
10001,2021,8,1,59318.64301688474
10001,2021,9,1,36056.97120080619
10001,2021,10,1,29771.221766826326
10002,2020,9,1,54677.33743178882
10002,2021,1,1,53163.99376458814
10002,2021,7,1,62289.31589934434
10002,2021,10,1,33230.949001689325
10002,2021,11,3,88965.75515812445
10003,2020,1,1,64304.86368930839
10003,2020,2,1,31489.990720703292
10003,2020,8,1,24669.55671491688
10003,2020,10,2,72716.66219307303
10003,2021,1,1,34645.12536131486
10003,2021,3,1,48435.97923176869
10003,2021,4,1,54729.63165808556
10003,2021,8,1,58125.39056772678
10003,2021,11,2,62993.28907010787
10003,2021,12,1,23520.52078079527
10004,2020,4,1,59655.278588897316
10004,2020,8,1,47294.06017561464
10004,2020,9,1,41554.290857048734
10004,2020,10,1,57927.09194042345
10004,2021,1,2,60334.47167840012
10004,2021,2,1,33276.2922555907
10004,2021,5,1,64745.303469532635
10004,2021,6,1,33160.5049298707
10004,2021,9,1,61504.001034895424
10005,2020,4,2,63589.602187598306
10005,2020,11,1,59461.59624556707
10005,2021,5,3,113159.36163951815
10005,2021,11,1,53733.404440763734
10006,2020,2,1,32412.35180280489
10006,2020,4,1,42148.766115379796
10006,2020,7,1,32056.795596894477
10006,2020,11,1,54350.83549072907
10006,2020,12,1,28174.588435863207
10006,2021,5,1,62342.206235977435
10006,2021,8,1,29689.36084223523
10006,2021,9,1,52149.05542828054
10006,2021,12,1,25595.840653244755
10007,2020,11,1,34626.92962730996
10007,2021,3,2,85315.65384359079
10007,2021,4,2,82745.22932865916
10007,2021,7,1,32344.00519338198
10007,2021,9,1,71778.90818981735
10007,2021,12,1,35677.48307574733
10008,2020,7,1,54052.5518792134
10008,2020,9,1,60288.47681709559
10008,2020,10,1,86281.28611150906
10008,2021,1,1,27103.11534696194
10008,2021,3,1,22127.063020642294
10008,2021,6,2,62322.39959028759
10008,2021,10,1,50832.09579332131
10008,2021,12,1,26106.767098694698
10009,2020,2,1,38004.9055915329
