OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup
1,10679,118,3,0,29,6,41600,124800,20s,High-Price,2020-02-22 22:13:56,Saturday,22:13:56,2020,Winter,PrimeTime
2,10269,228,48,1,33,6,22000,1056000,30s,Medium-Price,2020-03-04 23:46:08,Sunday,23:46:08,2020,Spring,PrimeTime
3,10577,238,17,1,32,1,31700,538900,30s,Medium-Price,2020-02-01 22:31:15,Thursday,22:31:15,2020,Winter,PrimeTime
4,10895,160,25,0,30,1,39400,985000,20s,High-Price,2020-03-01 03:25:56,Tuesday,03:25:56,2020,Spring,DayBreak
5,10765,118,1,0,33,6,41600,41600,30s,High-Price,2020-02-15 23:30:19,Thursday,23:30:19,2020,Winter,PrimeTime
6,10073,137,7,0,22,5,36000,252000,20s,High-Price,2020-03-20 20:44:25,Friday,20:44:25,2020,Spring,PrimeTime
7,10772,108,41,0,35,5,40100,1644100,30s,High-Price,2020-01-02 21:59:02,Friday,21:59:02,2020,Winter,PrimeTime
8,10398,128,14,0,59,6,37500,525000,50s,High-Price,2020-02-19 21:23:27,Tuesday,21:23:27,2020,Winter,PrimeTime
9,10895,122,1,0,30,1,37400,37400,20s,High-Price,2020-02-26 22:46:10,Friday,22:46:10,2020,Winter,PrimeTime
10,10987,179,6,1,48,5,41300,247800,40s,High-Price,2020-03-28 20:27:30,Friday,20:27:30,2020,Spring,PrimeTime
11,10132,142,27,0,26,7,35300,953100,20s,High-Price,2020-01-24 22:29:32,Sunday,22:29:32,2020,Winter,PrimeTime
12,10231,118,1,0,44,4,41600,41600,40s,High-Price,2020-01-24 22:44:14,Saturday,22:44:14,2020,Winter,PrimeTime
13,10455,134,17,0,28,5,37100,630700,20s,High-Price,2020-01-01 22:37:41,Sunday,22:37:41,2020,Winter,PrimeTime
14,10647,182,5,0,26,3,41100,205500,20s,High-Price,2020-03-30 22:48:13,Wednesday,22:48:13,2020,Spring,PrimeTime
15,10405,127,6,1,15,5,41000,246000,10s,High-Price,2020-03-25 20:15:26,Friday,20:15:26,2020,Spring,PrimeTime
16,10827,194,10,0,28,6,38200,382000,20s,High-Price,2020-02-09 15:45:08,Monday,15:45:08,2020,Winter,DayTime
17,10003,182,5,0,30,5,41100,205500,20s,High-Price,2020-01-16 22:10:12,Wednesday,22:10:12,2020,Winter,PrimeTime
18,10982,154,6,0,33,5,40300,241800,30s,High-Price,2020-01-06 18:48:28,Tuesday,18:48:28,2020,Winter,DayTime
19,10176,154,4,0,27,5,40300,161200,20s,High-Price,2020-01-24 21:15:29,Tuesday,21:15:29,2020,Winter,PrimeTime
20,10512,162,1,0,23,5,40200,40200,20s,High-Price,2020-03-03 23:22:58,Sunday,23:22:58,2020,Spring,PrimeTime
21,10693,238,9,1,40,7,31700,285300,30s,Medium-Price,2020-02-26 20:20:39,Sunday,20:20:39,2020,Winter,PrimeTime
22,10571,118,4,0,26,6,41600,166400,20s,High-Price,2020-02-15 22:56:06,Sunday,22:56:06,2020,Winter,PrimeTime
23,10111,260,1,1,55,1,29300,29300,50s,Medium-Price,2020-01-04 21:28:32,Wednesday,21:28:32,2020,Winter,PrimeTime
24,10595,154,11,0,23,5,40300,443300,20s,High-Price,2020-03-18 21:02:27,Friday,21:02:27,2020,Spring,PrimeTime
25,10255,154,5,0,23,4,40300,201500,20s,High-Price,2020-02-05 23:27:17,Monday,23:27:17,2020,Winter,PrimeTime
26,10593,101,4,0,37,9,43100,172400,30s,High-Price,2020-03-23 23:49:30,Wednesday,23:49:30,2020,Spring,PrimeTime
27,10314,152,14,0,24,6,38700,541800,20s,High-Price,2020-03-24 16:36:23,Friday,16:36:23,2020,Spring,DayTime
28,10684,160,7,0,20,6,39400,275800,10s,High-Price,2020-03-10 23:18:19,Wednesday,23:18:19,2020,Spring,PrimeTime
29,10290,152,6,0,32,6,38700,232200,30s,High-Price,2020-02-27 21:25:25,Sunday,21:25:25,2020,Winter,PrimeTime
30,10491,118,7,0,26,5,41600,291200,20s,High-Price,2020-03-12 23:57:42,Sunday,23:57:42,2020,Spring,PrimeTime
31,10070,152,2,0,38,6,38700,77400,30s,High-Price,2020-01-28 23:54:46,Tuesday,23:54:46,2020,Winter,PrimeTime
32,10222,160,5,0,54,4,39400,197000,50s,High-Price,2020-03-26 20:53:36,Saturday,20:53:36,2020,Spring,PrimeTime
33,10080,118,6,0,48,8,41600,249600,40s,High-Price,2020-01-17 23:21:27,Sunday,23:21:27,2020,Winter,PrimeTime
34,10090,118,2,0,28,5,41600,83200,20s,High-Price,2020-03-16 21:31:29,Saturday,21:31:29,2020,Spring,PrimeTime
35,10494,138,1,0,28,5,40000,40000,20s,High-Price,2020-03-19 23:10:07,Sunday,23:10:07,2020,Spring,PrimeTime
36,10281,260,10,1,27,3,29300,293000,20s,Medium-Price,2020-01-02 23:34:12,Sunday,23:34:12,2020,Winter,PrimeTime
37,10357,182,15,0,26,7,41100,616500,20s,High-Price,2020-01-12 20:08:06,Sunday,20:08:06,2020,Winter,PrimeTime
38,10701,260,4,1,23,6,29300,117200,20s,Medium-Price,2020-03-28 19:08:28,Sunday,19:08:28,2020,Spring,PrimeTime
39,10890,228,5,1,26,5,22000,110000,20s,Medium-Price,2020-03-02 05:29:01,Thursday,05:29:01,2020,Spring,DayBreak
40,10833,144,6,0,27,5,40800,244800,20s,High-Price,2020-02-04 23:50:55,Saturday,23:50:55,2020,Winter,PrimeTime
41,10446,398,5,0,15,5,16600,83000,10s,Low-Price,2020-03-18 14:06:21,Friday,14:06:21,2020,Spring,DayTime
42,10078,118,1,0,23,7,41600,41600,20s,High-Price,2020-03-22 20:04:34,Tuesday,20:04:34,2020,Spring,PrimeTime
43,10525,105,4,0,25,6,42200,168800,20s,High-Price,2020-02-26 18:53:14,Sunday,18:53:14,2020,Winter,DayTime
44,10711,138,9,0,23,5,40000,360000,20s,High-Price,2020-01-10 23:47:26,Saturday,23:47:26,2020,Winter,PrimeTime
45,10114,160,10,0,31,5,39400,394000,30s,High-Price,2020-01-24 22:19:20,Wednesday,22:19:20,2020,Winter,PrimeTime
46,10562,170,5,0,41,6,38000,190000,40s,High-Price,2020-01-02 22:47:02,Friday,22:47:02,2020,Winter,PrimeTime
47,10132,170,19,0,26,7,38000,722000,20s,High-Price,2020-03-25 15:43:21,Wednesday,15:43:21,2020,Spring,DayTime
48,10929,118,7,0,31,5,41600,291200,30s,High-Price,2020-03-10 13:09:01,Saturday,13:09:01,2020,Spring,DayTime
49,10116,262,2,1,17,5,21300,42600,10s,Medium-Price,2020-03-26 23:55:17,Saturday,23:55:17,2020,Spring,PrimeTime
50,10690,138,13,0,30,6,40000,520000,20s,High-Price,2020-01-27 13:44:04,Sunday,13:44:04,2020,Winter,DayTime
51,10740,144,13,0,27,1,40800,530400,20s,High-Price,2020-01-01 21:12:31,Thursday,21:12:31,2020,Winter,PrimeTime
52,10398,190,2,0,59,6,41900,83800,50s,High-Price,2020-03-05 23:49:31,Tuesday,23:49:31,2020,Spring,PrimeTime
53,10076,144,1,0,42,5,40800,40800,40s,High-Price,2020-03-28 23:15:49,Monday,23:15:49,2020,Spring,PrimeTime
54,10018,154,2,0,28,6,40300,80600,20s,High-Price,2020-01-26 22:16:32,Monday,22:16:32,2020,Winter,PrimeTime
55,10069,127,3,0,27,6,41000,123000,20s,High-Price,2020-03-28 20:28:04,Sunday,20:28:04,2020,Spring,PrimeTime
56,10472,254,4,1,27,4,22900,91600,20s,Medium-Price,2020-01-29 20:57:40,Sunday,20:57:40,2020,Winter,PrimeTime
57,10304,154,10,0,27,6,40300,403000,20s,High-Price,2020-03-22 22:57:27,Friday,22:57:27,2020,Spring,PrimeTime
58,10331,111,4,0,19,1,38400,153600,10s,High-Price,2020-01-22 20:43:46,Thursday,20:43:46,2020,Winter,PrimeTime
59,10423,152,4,0,31,10,38700,154800,30s,High-Price,2020-01-28 21:48:55,Monday,21:48:55,2020,Winter,PrimeTime
60,10629,179,19,0,27,5,41300,784700,20s,High-Price,2020-02-06 21:11:09,Tuesday,21:11:09,2020,Winter,PrimeTime
61,10246,294,9,1,31,5,32100,288900,30s,Medium-Price,2020-01-17 10:51:29,Tuesday,10:51:29,2020,Winter,DayTime
62,10871,154,6,0,36,8,40300,241800,30s,High-Price,2020-03-08 21:01:13,Tuesday,21:01:13,2020,Spring,PrimeTime
63,10433,282,23,1,35,3,28100,646300,30s,Medium-Price,2020-03-12 23:59:55,Wednesday,23:59:55,2020,Spring,PrimeTime
64,10549,197,3,0,36,5,42400,127200,30s,High-Price,2020-01-14 23:54:03,Friday,23:54:03,2020,Winter,PrimeTime
65,10478,111,1,1,22,4,38400,38400,20s,High-Price,2020-01-24 20:08:48,Monday,20:08:48,2020,Winter,PrimeTime
