OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup,RegionName
1,10679,10,3,0,29,6,41600,124800,20s,High-Price,2020-02-22 22:13:56,Saturday,22:13:56,2020,Winter,PrimeTime,I-City
2,10269,20,4,1,33,6,22000,1056000,30s,Medium-Price,2020-03-04 23:46:08,Sunday,23:46:08,2020,Spring,PrimeTime,I-City
3,10577,20,5,1,32,1,31700,538900,30s,Medium-Price,2020-02-01 22:31:15,Thursday,22:31:15,2020,Winter,PrimeTime,Y-City
4,10895,10,5,0,30,1,39400,985000,20s,High-Price,2020-03-01 03:25:56,Tuesday,03:25:56,2020,Spring,DayBreak,Y-City
5,10765,10,1,0,33,6,41600,41600,30s,High-Price,2020-02-15 23:30:19,Thursday,23:30:19,2020,Winter,PrimeTime,I-City
6,10073,10,7,0,22,5,36000,252000,20s,High-Price,2020-03-20 20:44:25,Friday,20:44:25,2020,Spring,PrimeTime,S-City
7,10772,10,6,0,35,5,40100,1644100,30s,High-Price,2020-01-02 21:59:02,Friday,21:59:02,2020,Winter,PrimeTime,S-City
8,10398,10,7,0,59,6,37500,525000,50s,High-Price,2020-02-19 21:23:27,Tuesday,21:23:27,2020,Winter,PrimeTime,I-City
9,10895,10,1,0,30,1,37400,37400,20s,High-Price,2020-02-26 22:46:10,Friday,22:46:10,2020,Winter,PrimeTime,Y-City
10,10987,10,6,1,48,5,41300,247800,40s,High-Price,2020-03-28 20:27:30,Friday,20:27:30,2020,Spring,PrimeTime,S-City
11,10132,10,2,0,26,7,35300,953100,20s,High-Price,2020-01-24 22:29:32,Sunday,22:29:32,2020,Winter,PrimeTime,T-City
12,10231,10,1,0,44,4,41600,41600,40s,High-Price,2020-01-24 22:44:14,Saturday,22:44:14,2020,Winter,PrimeTime,K-State
13,10455,10,9,0,28,5,37100,630700,20s,High-Price,2020-01-01 22:37:41,Sunday,22:37:41,2020,Winter,PrimeTime,S-City
