OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup,RegionName,Gender2,Month
1,10679,10,1,0,29,6,32557.267858605606,32557.267858605606,20s,High-Price,2020-02-22 22:03:00,Saturday,22:03:00,2020,Winter,PrimeTime,I-City,Female,2
2,10269,20,2,1,33,6,32368.38535949932,64736.77071899864,30s,Medium-Price,2020-03-04 20:48:00,Wednesday,20:48:00,2020,Spring,PrimeTime,I-City,Male,3
3,10577,20,1,1,32,1,34935.732272967485,34935.732272967485,30s,Medium-Price,2020-02-01 13:33:00,Saturday,13:33:00,2020,Winter,DayTime,Y-City,Male,2
4,10895,10,1,0,30,1,29543.028665543094,29543.028665543094,20s,High-Price,2020-03-01 21:11:00,Sunday,21:11:00,2020,Spring,PrimeTime,Y-City,Female,3
5,10765,10,1,0,33,6,37389.67763248348,37389.67763248348,30s,High-Price,2020-02-15 20:45:00,Saturday,20:45:00,2020,Winter,PrimeTime,I-City,Female,2
6,10073,10,2,0,22,5,24150.137836941678,48300.275673883356,20s,High-Price,2020-03-20 18:27:00,Friday,18:27:00,2020,Spring,DayTime,S-City,Female,3
7,10772,10,1,0,35,5,32306.87032043368,32306.87032043368,30s,High-Price,2020-01-02 22:42:00,Thursday,22:42:00,2020,Winter,PrimeTime,S-City,Female,1
8,10398,10,2,0,59,6,24713.378036908536,49426.75607381707,50s,High-Price,2020-02-19 14:52:00,Wednesday,14:52:00,2020,Winter,DayTime,I-City,Female,2
9,10895,10,2,0,30,1,19797.949354013923,39595.898708027846,20s,High-Price,2020-02-26 21:57:00,Wednesday,21:57:00,2020,Winter,PrimeTime,Y-City,Female,2
10,10987,10,1,1,48,5,32120.082553018598,32120.082553018598,40s,High-Price,2020-03-28 04:20:00,Saturday,04:20:00,2020,Spring,DayBreak,S-City,Male,3
11,10132,10,2,0,26,7,26468.38482679135,52936.7696535827,20s,High-Price,2020-01-24 23:25:00,Friday,23:25:00,2020,Winter,PrimeTime,T-City,Female,1
12,10231,10,2,0,44,4,28952.686969779304,57905.37393955861,40s,High-Price,2020-01-24 20:03:00,Friday,20:03:00,2020,Winter,PrimeTime,K-State,Female,1
13,10455,10,1,0,28,5,33108.797646154046,33108.797646154046,20s,High-Price,2020-01-01 22:42:00,Wednesday,22:42:00,2020,Winter,PrimeTime,S-City,Female,1
14,10647,10,2,0,26,3,24909.738163678627,49819.47632735725,20s,High-Price,2020-03-30 22:26:00,Monday,22:26:00,2020,Spring,PrimeTime,P-City,Female,3
15,10405,10,2,1,15,5,33337.56238412439,66675.12476824877,10s,High-Price,2020-03-25 23:00:00,Wednesday,23:00:00,2020,Spring,PrimeTime,S-City,Male,3
16,10827,10,1,0,28,6,43461.779070123586,43461.779070123586,20s,High-Price,2020-02-09 22:32:00,Sunday,22:32:00,2020,Winter,PrimeTime,I-City,Female,2
17,10003,10,2,0,30,5,32152.431844654195,64304.86368930839,20s,High-Price,2020-01-16 21:28:00,Thursday,21:28:00,2020,Winter,PrimeTime,S-City,Female,1
18,10982,10,2,0,33,5,32308.055330314597,64616.110660629194,30s,High-Price,2020-01-06 21:53:00,Monday,21:53:00,2020,Winter,PrimeTime,S-City,Female,1
