OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup,RegionName
1,10679,10,3,0,29,6,41600,124800,20s,High-Price,2020-02-22 22:03:00,Saturday,22:03:00,2020,Winter,PrimeTime,I-City
2,10269,20,8,1,33,6,22000,176000,30s,Medium-Price,2020-03-04 20:48:00,Wednesday,20:48:00,2020,Spring,PrimeTime,I-City
3,10577,20,6,1,32,1,31700,190200,30s,Medium-Price,2020-02-01 13:33:00,Saturday,13:33:00,2020,Winter,DayTime,Y-City
4,10895,10,6,0,30,1,39400,236400,20s,High-Price,2020-03-01 21:11:00,Sunday,21:11:00,2020,Spring,PrimeTime,Y-City
5,10765,10,1,0,33,6,41600,41600,30s,High-Price,2020-02-15 20:45:00,Saturday,20:45:00,2020,Winter,PrimeTime,I-City
6,10073,10,7,0,22,5,36000,252000,20s,High-Price,2020-03-20 18:27:00,Friday,18:27:00,2020,Spring,DayTime,S-City
7,10772,10,6,0,35,5,40100,240600,30s,High-Price,2020-01-02 22:42:00,Thursday,22:42:00,2020,Winter,PrimeTime,S-City
8,10398,10,6,0,59,6,37500,225000,50s,High-Price,2020-02-19 14:52:00,Wednesday,14:52:00,2020,Winter,DayTime,I-City
9,10895,10,1,0,30,1,37400,37400,20s,High-Price,2020-02-26 21:57:00,Wednesday,21:57:00,2020,Winter,PrimeTime,Y-City
10,10987,10,6,1,48,5,41300,247800,40s,High-Price,2020-03-28 04:20:00,Saturday,04:20:00,2020,Spring,DayBreak,S-City
11,10132,10,2,0,26,7,35300,70600,20s,High-Price,2020-01-24 23:25:00,Friday,23:25:00,2020,Winter,PrimeTime,T-City
12,10231,10,1,0,44,4,41600,41600,40s,High-Price,2020-01-24 20:03:00,Friday,20:03:00,2020,Winter,PrimeTime,K-State
13,10455,10,1,0,28,5,37100,37100,20s,High-Price,2020-01-01 22:42:00,Wednesday,22:42:00,2020,Winter,PrimeTime,S-City
14,10647,10,5,0,26,3,41100,205500,20s,High-Price,2020-03-30 22:26:00,Monday,22:26:00,2020,Spring,PrimeTime,P-City
